"PV.power_kW","GMT.Date","Date"
0,2018-04-17 07:00:00,2018-04-17 00:00:00
0,2018-04-17 07:04:59,2018-04-17 00:04:59
0,2018-04-17 07:05:00,2018-04-17 00:05:00
0,2018-04-17 07:09:59,2018-04-17 00:09:59
0,2018-04-17 07:10:00,2018-04-17 00:10:00
0,2018-04-17 07:14:59,2018-04-17 00:14:59
0,2018-04-17 07:15:00,2018-04-17 00:15:00
0,2018-04-17 07:19:59,2018-04-17 00:19:59
0,2018-04-17 07:20:00,2018-04-17 00:20:00
0,2018-04-17 07:24:59,2018-04-17 00:24:59
0,2018-04-17 07:25:00,2018-04-17 00:25:00
0,2018-04-17 07:29:59,2018-04-17 00:29:59
0,2018-04-17 07:30:00,2018-04-17 00:30:00
0,2018-04-17 07:34:59,2018-04-17 00:34:59
0,2018-04-17 07:35:00,2018-04-17 00:35:00
0,2018-04-17 07:39:59,2018-04-17 00:39:59
0,2018-04-17 07:40:00,2018-04-17 00:40:00
0,2018-04-17 07:44:59,2018-04-17 00:44:59
0,2018-04-17 07:45:00,2018-04-17 00:45:00
0,2018-04-17 07:49:59,2018-04-17 00:49:59
0,2018-04-17 07:50:00,2018-04-17 00:50:00
0,2018-04-17 07:54:59,2018-04-17 00:54:59
0,2018-04-17 07:55:00,2018-04-17 00:55:00
0,2018-04-17 07:59:59,2018-04-17 00:59:59
0,2018-04-17 08:00:00,2018-04-17 01:00:00
0,2018-04-17 08:04:59,2018-04-17 01:04:59
0,2018-04-17 08:05:00,2018-04-17 01:05:00
0,2018-04-17 08:09:59,2018-04-17 01:09:59
0,2018-04-17 08:10:00,2018-04-17 01:10:00
0,2018-04-17 08:14:59,2018-04-17 01:14:59
0,2018-04-17 08:15:00,2018-04-17 01:15:00
0,2018-04-17 08:19:59,2018-04-17 01:19:59
0,2018-04-17 08:20:00,2018-04-17 01:20:00
0,2018-04-17 08:24:59,2018-04-17 01:24:59
0,2018-04-17 08:25:00,2018-04-17 01:25:00
0,2018-04-17 08:29:59,2018-04-17 01:29:59
0,2018-04-17 08:30:00,2018-04-17 01:30:00
0,2018-04-17 08:34:59,2018-04-17 01:34:59
0,2018-04-17 08:35:00,2018-04-17 01:35:00
0,2018-04-17 08:39:59,2018-04-17 01:39:59
0,2018-04-17 08:40:00,2018-04-17 01:40:00
0,2018-04-17 08:44:59,2018-04-17 01:44:59
0,2018-04-17 08:45:00,2018-04-17 01:45:00
0,2018-04-17 08:49:59,2018-04-17 01:49:59
0,2018-04-17 08:50:00,2018-04-17 01:50:00
0,2018-04-17 08:54:59,2018-04-17 01:54:59
0,2018-04-17 08:55:00,2018-04-17 01:55:00
0,2018-04-17 08:59:59,2018-04-17 01:59:59
0,2018-04-17 09:00:00,2018-04-17 02:00:00
0,2018-04-17 09:04:59,2018-04-17 02:04:59
0,2018-04-17 09:05:00,2018-04-17 02:05:00
0,2018-04-17 09:09:59,2018-04-17 02:09:59
0,2018-04-17 09:10:00,2018-04-17 02:10:00
0,2018-04-17 09:14:59,2018-04-17 02:14:59
0,2018-04-17 09:15:00,2018-04-17 02:15:00
0,2018-04-17 09:19:59,2018-04-17 02:19:59
0,2018-04-17 09:20:00,2018-04-17 02:20:00
0,2018-04-17 09:24:59,2018-04-17 02:24:59
0,2018-04-17 09:25:00,2018-04-17 02:25:00
0,2018-04-17 09:29:59,2018-04-17 02:29:59
0,2018-04-17 09:30:00,2018-04-17 02:30:00
0,2018-04-17 09:34:59,2018-04-17 02:34:59
0,2018-04-17 09:35:00,2018-04-17 02:35:00
0,2018-04-17 09:39:59,2018-04-17 02:39:59
0,2018-04-17 09:40:00,2018-04-17 02:40:00
0,2018-04-17 09:44:59,2018-04-17 02:44:59
0,2018-04-17 09:45:00,2018-04-17 02:45:00
0,2018-04-17 09:49:59,2018-04-17 02:49:59
0,2018-04-17 09:50:00,2018-04-17 02:50:00
0,2018-04-17 09:54:59,2018-04-17 02:54:59
0,2018-04-17 09:55:00,2018-04-17 02:55:00
0,2018-04-17 09:59:59,2018-04-17 02:59:59
0,2018-04-17 10:00:00,2018-04-17 03:00:00
0,2018-04-17 10:04:59,2018-04-17 03:04:59
0,2018-04-17 10:05:00,2018-04-17 03:05:00
0,2018-04-17 10:09:59,2018-04-17 03:09:59
0,2018-04-17 10:10:00,2018-04-17 03:10:00
0,2018-04-17 10:14:59,2018-04-17 03:14:59
0,2018-04-17 10:15:00,2018-04-17 03:15:00
0,2018-04-17 10:19:59,2018-04-17 03:19:59
0,2018-04-17 10:20:00,2018-04-17 03:20:00
0,2018-04-17 10:24:59,2018-04-17 03:24:59
0,2018-04-17 10:25:00,2018-04-17 03:25:00
0,2018-04-17 10:29:59,2018-04-17 03:29:59
0,2018-04-17 10:30:00,2018-04-17 03:30:00
0,2018-04-17 10:31:34,2018-04-17 03:31:34
0,2018-04-17 10:34:59,2018-04-17 03:34:59
0,2018-04-17 10:35:00,2018-04-17 03:35:00
0,2018-04-17 10:39:59,2018-04-17 03:39:59
0,2018-04-17 10:40:00,2018-04-17 03:40:00
0,2018-04-17 10:44:59,2018-04-17 03:44:59
0,2018-04-17 10:45:00,2018-04-17 03:45:00
0,2018-04-17 10:49:59,2018-04-17 03:49:59
0,2018-04-17 10:50:00,2018-04-17 03:50:00
0,2018-04-17 10:54:59,2018-04-17 03:54:59
