"Date_PT","BatteryPower_kW"
"2017-07-04 17:00:00","-4.073608e-01"
"2017-07-04 17:15:00","-3.870332e-01"
"2017-07-04 17:30:00","-3.814684e-01"
"2017-07-04 17:45:00","-3.694522e-01"
"2017-07-04 18:00:00","-3.548235e-01"
"2017-07-04 18:15:00","-3.375987e-01"
"2017-07-04 18:30:00","-3.307375e-01"
"2017-07-04 18:45:00","-3.297398e-01"
"2017-07-04 19:00:00","-3.196453e-01"
"2017-07-04 19:15:00","-3.160944e-01"
"2017-07-04 19:30:00","-3.090645e-01"
"2017-07-04 19:45:00","-2.963578e-01"
"2017-07-04 20:00:00","-2.961880e-01"
"2017-07-04 20:15:00","-2.880968e-01"
"2017-07-04 20:30:00","-2.836473e-01"
"2017-07-04 20:45:00","-2.876993e-01"
"2017-07-04 21:00:00","-2.836848e-01"
"2017-07-04 21:15:00","-2.828947e-01"
"2017-07-04 21:30:00","-2.805689e-01"
"2017-07-04 21:45:00","-2.846212e-01"
"2017-07-04 22:00:00","-2.842715e-01"
"2017-07-04 22:15:00","-2.837909e-01"
"2017-07-04 22:30:00","-2.800980e-01"
"2017-07-04 22:45:00","-2.805103e-01"
"2017-07-04 23:00:00","-2.852831e-01"
"2017-07-04 23:15:00","-2.836260e-01"
"2017-07-04 23:30:00","-2.787129e-01"
"2017-07-04 23:45:00","-2.842823e-01"
"2017-07-05 00:00:00","-2.851352e-01"
"2017-07-05 00:15:00","-2.864690e-01"
"2017-07-05 00:30:00","-2.815562e-01"
"2017-07-05 00:45:00","-2.792071e-01"
"2017-07-05 01:00:00","-2.836583e-01"
"2017-07-05 01:15:00","-2.842616e-01"
"2017-07-05 01:30:00","-2.808128e-01"
"2017-07-05 01:45:00","-2.805147e-01"
"2017-07-05 02:00:00","-2.813806e-01"
"2017-07-05 02:15:00","-2.838534e-01"
"2017-07-05 02:30:00","-2.865019e-01"
"2017-07-05 02:45:00","-2.845783e-01"
"2017-07-05 03:00:00","-2.796679e-01"
"2017-07-05 03:15:00","-2.898985e-01"
"2017-07-05 03:30:00","-2.829682e-01"
"2017-07-05 03:45:00","-2.850247e-01"
"2017-07-05 04:00:00","-2.892151e-01"
"2017-07-05 04:15:00","-2.792276e-01"
"2017-07-05 04:30:00","-2.870096e-01"
"2017-07-05 04:45:00","-2.817210e-01"
"2017-07-05 05:00:00","-2.809013e-01"
"2017-07-05 05:15:00","-2.801203e-01"
"2017-07-05 05:30:00","-2.806754e-01"
"2017-07-05 05:45:00","-2.816393e-01"
"2017-07-05 06:00:00","-2.856407e-01"
"2017-07-05 06:15:00","-2.811544e-01"
"2017-07-05 06:30:00","-2.841903e-01"
"2017-07-05 06:45:00","-2.860356e-01"
"2017-07-05 07:00:00","-2.884335e-01"
"2017-07-05 07:15:00","-2.995200e-01"
"2017-07-05 07:30:00","-3.072175e-01"
"2017-07-05 07:45:00","-3.081213e-01"
"2017-07-05 08:00:00","-3.155265e-01"
"2017-07-05 08:15:00","-3.214294e-01"
"2017-07-05 08:30:00","-3.229267e-01"
"2017-07-05 08:45:00","-3.364136e-01"
"2017-07-05 09:00:00","-3.333330e-01"
"2017-07-05 09:15:00","-3.461376e-01"
"2017-07-05 09:30:00","-3.482420e-01"
"2017-07-05 09:45:00","-3.549718e-01"
"2017-07-05 10:00:00","-3.486632e-01"
"2017-07-05 10:15:00","-3.561771e-01"
"2017-07-05 10:30:00","-3.538660e-01"
"2017-07-05 10:45:00","-3.515567e-01"
"2017-07-05 11:00:00","-3.498002e-01"
"2017-07-05 11:15:00","-3.548570e-01"
"2017-07-05 11:30:00","-3.611798e-01"
"2017-07-05 11:45:00","-3.710735e-01"
"2017-07-05 12:00:00","-3.861796e-01"
"2017-07-05 12:15:00","-3.899331e-01"
"2017-07-05 12:30:00","-3.914400e-01"
"2017-07-05 12:45:00","-3.854917e-01"
"2017-07-05 13:00:00","-4.004836e-01"
"2017-07-05 13:15:00","-3.877558e-01"
"2017-07-05 13:30:00","-3.876959e-01"
"2017-07-05 13:45:00","-3.862208e-01"
"2017-07-05 14:00:00","-4.041083e-01"
"2017-07-05 14:15:00","-4.008291e-01"
"2017-07-05 14:30:00","-4.130934e-01"
"2017-07-05 14:45:00","-4.174427e-01"
"2017-07-05 15:00:00","-4.281672e-01"
"2017-07-05 15:15:00","-4.272870e-01"
"2017-07-05 15:30:00","-4.233800e-01"
"2017-07-05 15:45:00","-4.466016e-01"
"2017-07-05 16:00:00","-4.443049e-01"
"2017-07-05 16:15:00","-4.081199e-01"
"2017-07-05 16:30:00","-3.940900e-01"
"2017-07-05 16:45:00","-4.064394e-01"
"2017-07-05 17:00:00","-3.923354e-01"
"2017-07-05 17:15:00","-3.904037e-01"
"2017-07-05 17:30:00","-3.646300e-01"
