"Date_PT","BatteryStateOfCharge_Percent"
"2017-07-04 17:00:00","91.72500"
"2017-07-04 17:15:00","91.72267"
"2017-07-04 17:30:00","91.71633"
"2017-07-04 17:45:00","91.71500"
"2017-07-04 18:00:00","91.71333"
"2017-07-04 18:15:00","91.70967"
"2017-07-04 18:30:00","91.70800"
"2017-07-04 18:45:00","91.70533"
"2017-07-04 19:00:00","91.70400"
"2017-07-04 19:15:00","91.70233"
"2017-07-04 19:30:00","91.70000"
"2017-07-04 19:45:00","91.69734"
"2017-07-04 20:00:00","91.69500"
"2017-07-04 20:15:00","91.69133"
"2017-07-04 20:30:00","91.68867"
"2017-07-04 20:45:00","91.68500"
"2017-07-04 21:00:00","91.68133"
"2017-07-04 21:15:00","91.67900"
"2017-07-04 21:30:00","91.67767"
"2017-07-04 21:45:00","91.67533"
"2017-07-04 22:00:00","91.67233"
"2017-07-04 22:15:00","91.66867"
"2017-07-04 22:30:00","91.66233"
"2017-07-04 22:45:00","91.65767"
"2017-07-04 23:00:00","91.65433"
"2017-07-04 23:15:00","91.65233"
"2017-07-04 23:30:00","91.65133"
"2017-07-04 23:45:00","91.64967"
"2017-07-05 00:00:00","91.64700"
"2017-07-05 00:15:00","91.64567"
"2017-07-05 00:30:00","91.64467"
"2017-07-05 00:45:00","91.64167"
"2017-07-05 01:00:00","91.63633"
"2017-07-05 01:15:00","91.63500"
"2017-07-05 01:30:00","91.63467"
"2017-07-05 01:45:00","91.63333"
"2017-07-05 02:00:00","91.63133"
"2017-07-05 02:15:00","91.62833"
"2017-07-05 02:30:00","91.62767"
"2017-07-05 02:45:00","91.62567"
"2017-07-05 03:00:00","91.62100"
"2017-07-05 03:15:00","91.61867"
"2017-07-05 03:30:00","91.61733"
"2017-07-05 03:45:00","91.61567"
"2017-07-05 04:00:00","91.61400"
"2017-07-05 04:15:00","91.61267"
"2017-07-05 04:30:00","91.61167"
"2017-07-05 04:45:00","91.60833"
"2017-07-05 05:00:00","91.60700"
"2017-07-05 05:15:00","91.60533"
"2017-07-05 05:30:00","91.60400"
"2017-07-05 05:45:00","91.60300"
"2017-07-05 06:00:00","91.60200"
"2017-07-05 06:15:00","91.60100"
"2017-07-05 06:30:00","91.60033"
"2017-07-05 06:45:00","91.59733"
"2017-07-05 07:00:00","91.59633"
"2017-07-05 07:15:00","91.59567"
"2017-07-05 07:30:00","91.59333"
"2017-07-05 07:45:00","91.59200"
"2017-07-05 08:00:00","91.58900"
"2017-07-05 08:15:00","91.58733"
"2017-07-05 08:30:00","91.58467"
"2017-07-05 08:45:00","91.58367"
"2017-07-05 09:00:00","91.58200"
"2017-07-05 09:15:00","91.58033"
"2017-07-05 09:30:00","91.57867"
"2017-07-05 09:45:00","91.57633"
"2017-07-05 10:00:00","91.57400"
"2017-07-05 10:15:00","91.57233"
"2017-07-05 10:30:00","91.56967"
"2017-07-05 10:45:00","91.56900"
"2017-07-05 11:00:00","91.56767"
"2017-07-05 11:15:00","91.56533"
"2017-07-05 11:30:00","91.56367"
"2017-07-05 11:45:00","91.55900"
"2017-07-05 12:00:00","91.55533"
"2017-07-05 12:15:00","91.55267"
"2017-07-05 12:30:00","91.54967"
"2017-07-05 12:45:00","91.54567"
"2017-07-05 13:00:00","91.53933"
"2017-07-05 13:15:00","91.53767"
"2017-07-05 13:30:00","91.53667"
"2017-07-05 13:45:00","91.53533"
"2017-07-05 14:00:00","91.53433"
"2017-07-05 14:15:00","91.53200"
"2017-07-05 14:30:00","91.52867"
"2017-07-05 14:45:00","91.52633"
"2017-07-05 15:00:00","91.52100"
"2017-07-05 15:15:00","91.51767"
"2017-07-05 15:30:00","91.51633"
"2017-07-05 15:45:00","91.51533"
"2017-07-05 16:00:00","91.51200"
"2017-07-05 16:15:00","91.50733"
"2017-07-05 16:30:00","91.50533"
"2017-07-05 16:45:00","91.50367"
"2017-07-05 17:00:00","91.50133"
"2017-07-05 17:15:00","91.50067"
"2017-07-05 17:30:00","91.49933"
"2017-07-05 17:45:00","91.49700"
"2017-07-05 18:00:00","91.49600"
"2017-07-05 18:15:00","91.49433"
"2017-07-05 18:30:00","91.49333"
"2017-07-05 18:45:00","91.49267"
"2017-07-05 19:00:00","91.49133"
"2017-07-05 19:15:00","91.48933"
"2017-07-05 19:30:00","91.48700"
"2017-07-05 19:45:00","91.48633"
"2017-07-05 20:00:00","91.48533"
"2017-07-05 20:15:00","91.48333"
"2017-07-05 20:30:00","91.48133"
"2017-07-05 20:45:00","91.47867"
"2017-07-05 21:00:00","91.47733"
"2017-07-05 21:15:00","91.47567"
"2017-07-05 21:30:00","91.47367"
"2017-07-05 21:45:00","91.47233"
"2017-07-05 22:00:00","91.47100"
"2017-07-05 22:15:00","91.47067"
"2017-07-05 22:30:00","91.46733"
"2017-07-05 22:45:00","91.46467"
"2017-07-05 23:00:00","91.46400"
"2017-07-05 23:15:00","91.46300"
"2017-07-05 23:30:00","91.46200"
"2017-07-05 23:45:00","91.46033"
"2017-07-06 00:00:00","91.45867"
"2017-07-06 00:15:00","91.45733"
"2017-07-06 00:30:00","91.45600"
"2017-07-06 00:45:00","91.45400"
"2017-07-06 01:00:00","91.45200"
"2017-07-06 01:15:00","91.45133"
"2017-07-06 01:30:00","91.44933"
"2017-07-06 01:45:00","91.44767"
"2017-07-06 02:00:00","91.44333"
"2017-07-06 02:15:00","91.44233"
"2017-07-06 02:30:00","91.44067"
"2017-07-06 02:45:00","91.43967"
"2017-07-06 03:00:00","91.43733"
"2017-07-06 03:15:00","91.43600"
"2017-07-06 03:30:00","91.43533"
"2017-07-06 03:45:00","91.43233"
"2017-07-06 04:00:00","91.43000"
"2017-07-06 04:15:00","91.42933"
"2017-07-06 04:30:00","91.42833"
"2017-07-06 04:45:00","91.42667"
"2017-07-06 05:00:00","91.42500"
"2017-07-06 05:15:00","91.42400"
"2017-07-06 05:30:00","91.42267"
"2017-07-06 05:45:00","91.42167"
"2017-07-06 06:00:00","91.41900"
"2017-07-06 06:15:00","91.41700"
"2017-07-06 06:30:00","91.41633"
"2017-07-06 06:45:00","91.41500"
"2017-07-06 07:00:00","91.41100"
"2017-07-06 07:15:00","91.40833"
"2017-07-06 07:30:00","91.40733"
"2017-07-06 07:45:00","91.40633"
"2017-07-06 08:00:00","91.40533"
"2017-07-06 08:15:00","91.40300"
"2017-07-06 08:30:00","91.40033"
"2017-07-06 08:45:00","91.39900"
"2017-07-06 09:00:00","91.39667"
"2017-07-06 09:15:00","91.39333"
"2017-07-06 09:30:00","91.39200"
"2017-07-06 09:45:00","91.39033"
"2017-07-06 10:00:00","91.38933"
"2017-07-06 10:15:00","91.38833"
"2017-07-06 10:30:00","91.38700"
"2017-07-06 10:45:00","91.38567"
"2017-07-06 11:00:00","91.38433"
"2017-07-06 11:15:00","91.38333"
"2017-07-06 11:30:00","91.38233"
"2017-07-06 11:45:00","91.38100"
"2017-07-06 12:00:00","91.38000"
"2017-07-06 12:15:00","91.37533"
"2017-07-06 12:30:00","91.36967"
"2017-07-06 12:45:00","91.36567"
"2017-07-06 13:00:00","91.36400"
"2017-07-06 13:15:00","91.36100"
"2017-07-06 13:30:00","91.35933"
"2017-07-06 13:45:00","91.35733"
"2017-07-06 14:00:00","91.35633"
"2017-07-06 14:15:00","91.35500"
"2017-07-06 14:30:00","91.35133"
"2017-07-06 14:45:00","91.35000"
"2017-07-06 15:00:00","91.34867"
"2017-07-06 15:15:00","91.34767"
"2017-07-06 15:30:00","91.34533"
"2017-07-06 15:45:00","91.34333"
"2017-07-06 16:00:00","91.34133"
"2017-07-06 16:15:00","91.34000"
"2017-07-06 16:30:00","91.33900"
"2017-07-06 16:45:00","91.33733"
"2017-07-06 17:00:00","91.33633"
"2017-07-06 17:15:00","91.33467"
"2017-07-06 17:30:00","91.33133"
"2017-07-06 17:45:00","91.33000"
"2017-07-06 18:00:00","91.32833"
"2017-07-06 18:15:00","91.32633"
"2017-07-06 18:30:00","91.32533"
"2017-07-06 18:45:00","91.32467"
"2017-07-06 19:00:00","91.32333"
"2017-07-06 19:15:00","91.32033"
"2017-07-06 19:30:00","91.31567"
"2017-07-06 19:45:00","91.31500"
"2017-07-06 20:00:00","91.31367"
"2017-07-06 20:15:00","91.31233"
"2017-07-06 20:30:00","91.31033"
"2017-07-06 20:45:00","91.30900"
"2017-07-06 21:00:00","91.30833"
"2017-07-06 21:15:00","91.30633"
"2017-07-06 21:30:00","91.30533"
"2017-07-06 21:45:00","91.30167"
"2017-07-06 22:00:00","91.30000"
"2017-07-06 22:15:00","91.29900"
"2017-07-06 22:30:00","91.29600"
"2017-07-06 22:45:00","91.29067"
"2017-07-06 23:00:00","91.28867"
"2017-07-06 23:15:00","91.28600"
"2017-07-06 23:30:00","91.28400"
"2017-07-06 23:45:00","91.28233"
"2017-07-07 00:00:00","91.28067"
"2017-07-07 00:15:00","91.27933"
"2017-07-07 00:30:00","91.27800"
"2017-07-07 00:45:00","91.27733"
"2017-07-07 01:00:00","91.27567"
"2017-07-07 01:15:00","91.27433"
"2017-07-07 01:30:00","91.27333"
"2017-07-07 01:45:00","91.27200"
"2017-07-07 02:00:00","91.27100"
"2017-07-07 02:15:00","91.26833"
"2017-07-07 02:30:00","91.26733"
"2017-07-07 02:45:00","91.26633"
"2017-07-07 03:00:00","91.26267"
"2017-07-07 03:15:00","91.26200"
"2017-07-07 03:30:00","91.26133"
"2017-07-07 03:45:00","91.26067"
"2017-07-07 04:00:00","91.25833"
"2017-07-07 04:15:00","91.25733"
"2017-07-07 04:30:00","91.25700"
"2017-07-07 04:45:00","91.25667"
"2017-07-07 05:00:00","91.25367"
"2017-07-07 05:15:00","91.25200"
"2017-07-07 05:30:00","91.25100"
"2017-07-07 05:45:00","91.25000"
"2017-07-07 06:00:00","91.24867"
"2017-07-07 06:15:00","91.24700"
"2017-07-07 06:30:00","91.24533"
"2017-07-07 06:45:00","91.24433"
"2017-07-07 07:00:00","91.24233"
"2017-07-07 07:15:00","91.24033"
"2017-07-07 07:30:00","91.23900"
"2017-07-07 07:45:00","91.23700"
"2017-07-07 08:00:00","91.23433"
"2017-07-07 08:15:00","91.23333"
"2017-07-07 08:30:00","91.23033"
"2017-07-07 08:45:00","91.22633"
"2017-07-07 09:00:00","91.22533"
"2017-07-07 09:15:00","91.22400"
"2017-07-07 09:30:00","91.22300"
"2017-07-07 09:45:00","91.22133"
"2017-07-07 10:00:00","91.21967"
"2017-07-07 10:15:00","91.21833"
"2017-07-07 10:30:00","91.21667"
"2017-07-07 10:45:00","91.21400"
"2017-07-07 11:00:00","91.21067"
"2017-07-07 11:15:00","91.20833"
"2017-07-07 11:30:00","91.20500"
"2017-07-07 11:45:00","91.20233"
"2017-07-07 12:00:00","91.20067"
"2017-07-07 12:15:00","91.19833"
"2017-07-07 12:30:00","91.19767"
"2017-07-07 12:45:00","91.19600"
"2017-07-07 13:00:00","91.19167"
"2017-07-07 13:15:00","91.19100"
"2017-07-07 13:30:00","91.19000"
"2017-07-07 13:45:00","91.18900"
"2017-07-07 14:00:00","91.18700"
"2017-07-07 14:15:00","91.18533"
"2017-07-07 14:30:00","91.18233"
"2017-07-07 14:45:00","91.18200"
"2017-07-07 15:00:00","91.18067"
"2017-07-07 15:15:00","91.17933"
"2017-07-07 15:30:00","91.17600"
"2017-07-07 15:45:00","91.17500"
"2017-07-07 16:00:00","91.17367"
"2017-07-07 16:15:00","91.17167"
"2017-07-07 16:30:00","91.17067"
"2017-07-07 16:45:00","91.16867"
"2017-07-07 17:00:00","91.16767"
"2017-07-07 17:15:00","91.16633"
"2017-07-07 17:30:00","91.16400"
"2017-07-07 17:45:00","91.16133"
"2017-07-07 18:00:00","91.15967"
"2017-07-07 18:15:00","91.15867"
"2017-07-07 18:30:00","91.15733"
"2017-07-07 18:45:00","91.15467"
"2017-07-07 19:00:00","91.15400"
"2017-07-07 19:15:00","91.15300"
"2017-07-07 19:30:00","91.15133"
"2017-07-07 19:45:00","91.14933"
"2017-07-07 20:00:00","91.14633"
"2017-07-07 20:15:00","91.14533"
"2017-07-07 20:30:00","91.14433"
"2017-07-07 20:45:00","91.14233"
"2017-07-07 21:00:00","91.14135"
"2017-07-07 21:15:00","91.14068"
"2017-07-07 21:30:00","91.13900"
"2017-07-07 21:45:00","91.13433"
"2017-07-07 22:00:00","91.13300"
"2017-07-07 22:15:00","91.13200"
"2017-07-07 22:30:00","91.13133"
"2017-07-07 22:45:00","91.12900"
"2017-07-07 23:00:00","91.12600"
"2017-07-07 23:15:00","91.12433"
"2017-07-07 23:30:00","91.12400"
"2017-07-07 23:45:00","91.12300"
"2017-07-08 00:00:00","91.12033"
"2017-07-08 00:15:00","91.11933"
"2017-07-08 00:30:00","91.11833"
"2017-07-08 00:45:00","91.11533"
"2017-07-08 01:00:00","91.11467"
"2017-07-08 01:15:00","91.11233"
"2017-07-08 01:30:00","91.11133"
"2017-07-08 01:45:00","91.11000"
"2017-07-08 02:00:00","91.10833"
"2017-07-08 02:15:00","91.10767"
"2017-07-08 02:30:00","91.10700"
"2017-07-08 02:45:00","91.10500"
"2017-07-08 03:00:00","91.10167"
"2017-07-08 03:15:00","91.10100"
"2017-07-08 03:30:00","91.10000"
"2017-07-08 03:45:00","91.09867"
"2017-07-08 04:00:00","91.09633"
"2017-07-08 04:15:00","91.09567"
"2017-07-08 04:30:00","91.09300"
"2017-07-08 04:45:00","91.09200"
"2017-07-08 05:00:00","91.09100"
"2017-07-08 05:15:00","91.08900"
"2017-07-08 05:30:00","91.08600"
"2017-07-08 05:45:00","91.08433"
"2017-07-08 06:00:00","91.08167"
"2017-07-08 06:15:00","91.07967"
"2017-07-08 06:30:00","91.07867"
"2017-07-08 06:45:00","91.07700"
"2017-07-08 07:00:00","91.07500"
"2017-07-08 07:15:00","91.07367"
"2017-07-08 07:30:00","91.06933"
"2017-07-08 07:45:00","91.06700"
"2017-07-08 08:00:00","91.06433"
"2017-07-08 08:15:00","91.06233"
"2017-07-08 08:30:00","91.06033"
"2017-07-08 08:45:00","91.05833"
"2017-07-08 09:00:00","91.05633"
"2017-07-08 09:15:00","91.05500"
"2017-07-08 09:30:00","91.05100"
"2017-07-08 09:45:00","91.04933"
"2017-07-08 10:00:00","91.04800"
"2017-07-08 10:15:00","91.04700"
"2017-07-08 10:30:00","91.04567"
"2017-07-08 10:45:00","91.04333"
"2017-07-08 11:00:00","91.04133"
"2017-07-08 11:15:00","91.04033"
"2017-07-08 11:30:00","91.03767"
"2017-07-08 11:45:00","91.03633"
"2017-07-08 12:00:00","91.03467"
"2017-07-08 12:15:00","91.03267"
"2017-07-08 12:30:00","91.02900"
"2017-07-08 12:45:00","91.02733"
"2017-07-08 13:00:00","91.02633"
"2017-07-08 13:15:00","91.02400"
"2017-07-08 13:30:00","91.02167"
"2017-07-08 13:45:00","91.02100"
"2017-07-08 14:00:00","91.02033"
"2017-07-08 14:15:00","91.01900"
"2017-07-08 14:30:00","91.01700"
"2017-07-08 14:45:00","91.01600"
"2017-07-08 15:00:00","91.01533"
"2017-07-08 15:15:00","91.01333"
"2017-07-08 15:30:00","91.01100"
"2017-07-08 15:45:00","91.00933"
"2017-07-08 16:00:00","91.00833"
"2017-07-08 16:15:00","91.00667"
"2017-07-08 16:30:00","91.00533"
"2017-07-08 16:45:00","91.00400"
"2017-07-08 17:00:00","91.00233"
"2017-07-08 17:15:00","91.00100"
"2017-07-08 17:30:00","91.00000"
"2017-07-08 17:45:00","90.99833"
"2017-07-08 18:00:00","90.99700"
"2017-07-08 18:15:00","90.99533"
"2017-07-08 18:30:00","90.99200"
"2017-07-08 18:45:00","90.98600"
"2017-07-08 19:00:00","90.98100"
"2017-07-08 19:15:00","90.98033"
"2017-07-08 19:30:00","90.97800"
"2017-07-08 19:45:00","90.97400"
"2017-07-08 20:00:00","90.97200"
"2017-07-08 20:15:00","90.97100"
"2017-07-08 20:30:00","90.97000"
"2017-07-08 20:45:00","90.96900"
"2017-07-08 21:00:00","90.96800"
"2017-07-08 21:15:00","90.96667"
"2017-07-08 21:30:00","90.96433"
"2017-07-08 21:45:00","90.96333"
"2017-07-08 22:00:00","90.96200"
"2017-07-08 22:15:00","90.95933"
"2017-07-08 22:30:00","90.95900"
"2017-07-08 22:45:00","90.95733"
"2017-07-08 23:00:00","90.95600"
"2017-07-08 23:15:00","90.95400"
"2017-07-08 23:30:00","90.94933"
"2017-07-08 23:45:00","90.94767"
"2017-07-09 00:00:00","90.94567"
"2017-07-09 00:15:00","90.94333"
"2017-07-09 00:30:00","90.94167"
"2017-07-09 00:45:00","90.94033"
"2017-07-09 01:00:00","90.93767"
"2017-07-09 01:15:00","90.93433"
"2017-07-09 01:30:00","90.93333"
"2017-07-09 01:45:00","90.93233"
"2017-07-09 02:00:00","90.93033"
"2017-07-09 02:15:00","90.92900"
"2017-07-09 02:30:00","90.92833"
"2017-07-09 02:45:00","90.92800"
"2017-07-09 03:00:00","90.92667"
"2017-07-09 03:15:00","90.92467"
"2017-07-09 03:30:00","90.92400"
"2017-07-09 03:45:00","90.92333"
"2017-07-09 04:00:00","90.92200"
"2017-07-09 04:15:00","90.92000"
"2017-07-09 04:30:00","90.91833"
"2017-07-09 04:45:00","90.91733"
"2017-07-09 05:00:00","90.91600"
"2017-07-09 05:15:00","90.91533"
"2017-07-09 05:30:00","90.91433"
"2017-07-09 05:45:00","90.91267"
"2017-07-09 06:00:00","90.91067"
"2017-07-09 06:15:00","90.91000"
"2017-07-09 06:30:00","90.90967"
"2017-07-09 06:45:00","90.90700"
"2017-07-09 07:00:00","90.90433"
"2017-07-09 07:15:00","90.90333"
"2017-07-09 07:30:00","90.90233"
"2017-07-09 07:45:00","90.90067"
"2017-07-09 08:00:00","90.89867"
"2017-07-09 08:15:00","90.89733"
"2017-07-09 08:30:00","90.89567"
"2017-07-09 08:45:00","90.89200"
"2017-07-09 09:00:00","90.89033"
"2017-07-09 09:15:00","90.88900"
"2017-07-09 09:30:00","90.88767"
