,avenal-public-works-yard,s0
2017-12-31 16:00:00-08:00,70,0
2017-12-31 16:01:00-08:00,68.57142857,0
2017-12-31 16:02:00-08:00,110,0
2017-12-31 16:03:00-08:00,120,0
2017-12-31 16:04:00-08:00,110,0
2017-12-31 16:05:00-08:00,130,0
2017-12-31 16:06:00-08:00,120,0
2017-12-31 16:07:00-08:00,120,0
2017-12-31 16:08:00-08:00,108.5714286,0
2017-12-31 16:09:00-08:00,100,0
2017-12-31 16:10:00-08:00,93.33333333,0
2017-12-31 16:11:00-08:00,120,0
2017-12-31 16:12:00-08:00,110,0
2017-12-31 16:13:00-08:00,108.5714286,0
2017-12-31 16:14:00-08:00,130,0
2017-12-31 16:15:00-08:00,185,0
2017-12-31 16:16:00-08:00,650,0
2017-12-31 16:17:00-08:00,640,0
2017-12-31 16:18:00-08:00,650,0
2017-12-31 16:19:00-08:00,640,0
